Sign,H1 FingerSelection,H1 Aperture,H1 Curve,H1 Bent,H1 Facing,H1 Focus,H1 Width,Dynamic Orientation,Location,Plane,Settings,Path,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,Manner,H1 Focus_2,H1 Facing_2
собирать,all,open-closed,straight-curved,straight-bent,ulnar,palm,wide-pointed,absent,hand-palm,horisontal,ipsi-contra; far-near,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
поднимать,all,open-closed,straight-curved,straight-bent,tips,root,pointed,absent,space,horisontal,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
проколоть,1-st,absent,straight,straight,tips,tips,absent,prone-neutral,hand-palm,sagittal,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
защипнуть,1-st,open-closed,straight-curved,straight,tips,tips,absent,prone-neutral,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
писать,1-st,absent,straight,straight,root,tips,absent,absent,trunk,absent,near-far; high-low,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
играть,all,closed,straight,bent,back,tips,pointed,absent,space,horisontal,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
сядь,1-st,absent,straight-curved,straight,palm,tips,pointed,absent,space,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
отказываться,all,absent,straight,bent-straight,palm,tips,pointed,absent,hand-palm,absent,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,tense,,
сокращать,all,open-closed,straight-curved,absent,palm,absent,pointed,absent,space,parallel,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
отменить,all,absent,straight,straight,absent,ulnar,pointed,absent,space,parallel,high-low; ipsi-contra; contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
восхвалять,all,absent,straight,straight,absent,palm,wide,absent,space,parallel,low-high,vawe,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
размещать,all,open-closed,absent,absent,palm,tips,wide-pointed,absent,space,parallel,far-near,arc,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
сопровождать,1-st,absent,straight,straight,root,ulnar,absent,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
обвинять,all,closed,absent,absent,root,tips,pointed,absent,hand-back; space,horisontal,x-y,sraight,absent,absent,absent,absent,absent,palm,absent,repeated; tense,,
отложить,all,absent,straight,straight,palm,back,pointed,absent,virtual object; space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,ulnar
продвигать,absent,absent,absent,absent,ulnar,radial,absent,neutral-supine,space,horisontal,low-high; proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
влиять,all,closed,straight-curved,bent,ulnar,back,pointed,absent,space,horisontal,x-y,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
